127.0.0.1 - - [31/Jan/2023:13:34:59 +0800] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [31/Jan/2023:13:35:00 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 10072
0:0:0:0:0:0:0:1 - - [31/Jan/2023:13:35:01 +0800] "GET /CGA105G7/back-end/css/back.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:13:35:01 +0800] "GET /CGA105G7/back-end/css/listAllLoc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:13:35:01 +0800] "GET /CGA105G7/back-end/js/Loc.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:13:35:01 +0800] "GET /CGA105G7/back-end/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:13:35:27 +0800] "GET /CGA105G7/back-end/Location/locPic.do?LOC_ID=30&action=get_For_Update HTTP/1.1" 200 11557
0:0:0:0:0:0:0:1 - - [31/Jan/2023:13:35:29 +0800] "GET /CGA105G7/back-end/Location/locPic.do?LOC_ID=28&action=get_For_Update HTTP/1.1" 200 504101
0:0:0:0:0:0:0:1 - - [31/Jan/2023:13:35:33 +0800] "GET /CGA105G7/back-end/Location/locPic.do?LOC_ID=27&action=get_For_Update HTTP/1.1" 200 513069
0:0:0:0:0:0:0:1 - - [31/Jan/2023:13:56:12 +0800] "GET /CGA105G7/front-end/css/jquery.datetimepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:13:56:12 +0800] "GET /CGA105G7/front-end/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:13:56:12 +0800] "GET /CGA105G7/front-end/css/userTripAll.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:13:56:12 +0800] "GET /CGA105G7/front-end/css/tripPlan.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:13:56:12 +0800] "GET /CGA105G7/front-end/TripPlan/tripPlan.jsp HTTP/1.1" 200 2812677
0:0:0:0:0:0:0:1 - - [31/Jan/2023:13:56:12 +0800] "GET /CGA105G7/front-end/TripPlan/images/dog.jpeg HTTP/1.1" 404 810
