127.0.0.1 - - [16/Jan/2023:13:50:45 +0800] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:51:31 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 21364
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:51:31 +0800] "GET /CGA105G7/back-end/css/listAllLoc.css HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:51:31 +0800] "GET /CGA105G7/back-end/css/back.css HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:51:31 +0800] "GET /CGA105G7/back-end/js/Loc.js HTTP/1.1" 200 4878
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:51:31 +0800] "GET /CGA105G7/back-end/images/logo.png HTTP/1.1" 200 204378
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:51:31 +0800] "GET /CGA105G7/back-end/images/JavaTime.png HTTP/1.1" 200 893677
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:51:34 +0800] "POST /CGA105G7/back-end/Location/loc.do HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:51:39 +0800] "POST /CGA105G7/back-end/Location/loc.do HTTP/1.1" 200 21367
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:52:02 +0800] "POST /CGA105G7/back-end/Location/loc.do HTTP/1.1" 200 22152
