0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:44:33 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20529
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:44:33 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20529
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:44:33 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20529
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:44:33 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20529
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:44:33 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20529
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:44:33 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20529
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:44:34 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20529
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:44:47 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20573
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:44:47 +0800] "GET /back-end/js/Loc.js HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:44:47 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20573
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:44:47 +0800] "GET /back-end/js/Loc.js HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:44:47 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20573
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:44:47 +0800] "GET /back-end/js/Loc.js HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:44:47 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20573
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:44:47 +0800] "GET /back-end/js/Loc.js HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:44:47 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20573
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:44:47 +0800] "GET /back-end/js/Loc.js HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:45:02 +0800] "GET /CGA105G7/back-end/Location/loc.do?LOC_ID=21&action=getOne_For_Update HTTP/1.1" 200 25056
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:45:02 +0800] "GET /back-end/js/Loc.js HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:45:06 +0800] "GET /CGA105G7/back-end/Location/loc.do?LOC_ID=22&action=getOne_For_Update HTTP/1.1" 200 25017
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:45:06 +0800] "GET /back-end/js/Loc.js HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:45:55 +0800] "GET /CGA105G7/back-end/Location/loc.do?LOC_ID=22&action=getOne_For_Update HTTP/1.1" 200 25026
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:47:23 +0800] "GET /CGA105G7/back-end/Location/loc.do?LOC_ID=22&action=getOne_For_Update HTTP/1.1" 200 25026
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:47:43 +0800] "GET /CGA105G7/back-end/Location/loc.do?LOC_ID=22&action=getOne_For_Update HTTP/1.1" 200 25040
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:47:46 +0800] "GET /CGA105G7/back-end/Location/loc.do?LOC_ID=22&action=getOne_For_Update HTTP/1.1" 200 25040
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:47:58 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20596
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:48:05 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20596
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:48:46 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20596
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:48:49 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20596
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:48:49 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20596
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:48:50 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20596
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:48:51 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20596
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:48:51 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20596
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:48:51 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20596
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:49:03 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20597
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:49:04 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20597
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:49:05 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20597
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:49:05 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20597
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:49:33 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20596
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:50:07 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20599
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:50:09 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20599
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:50:15 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20599
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:51:27 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20599
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:51:30 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20599
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:51:30 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20599
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:51:30 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20599
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:51:31 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20599
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:51:31 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20599
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:51:31 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20599
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:51:31 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20599
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:51:31 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20599
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:51:32 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20599
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:51:32 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20599
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:51:32 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20599
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:53:17 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20594
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:53:33 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20594
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:53:33 +0800] "GET /CGA105G7/back-end/css/back.css HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:53:33 +0800] "GET /CGA105G7/back-end/css/listAllLoc.css HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:53:33 +0800] "GET /CGA105G7/back-end/js/Loc.js HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:53:33 +0800] "GET /CGA105G7/back-end/images/logo.png HTTP/1.1" 200 204378
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:53:33 +0800] "GET /CGA105G7/back-end/images/JavaTime.png HTTP/1.1" 200 893677
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:53:34 +0800] "GET /CGA105G7/back-end/images/logo.png HTTP/1.1" 200 204378
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:08 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20599
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:08 +0800] "GET /CGA105G7/back-end/css/back.css HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:08 +0800] "GET /CGA105G7/back-end/css/listAllLoc.css HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:08 +0800] "GET /CGA105G7/back-end/js/Loc.js HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:08 +0800] "GET /CGA105G7/back-end/images/logo.png HTTP/1.1" 200 204378
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:08 +0800] "GET /CGA105G7/back-end/images/JavaTime.png HTTP/1.1" 200 893677
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:09 +0800] "GET /CGA105G7/back-end/images/logo.png HTTP/1.1" 200 204378
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:20 +0800] "GET /CGA105G7/back-end/Location/loc.do?LOC_ID=3&action=getOne_For_Update HTTP/1.1" 200 25118
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:20 +0800] "GET /CGA105G7/back-end/css/back.css HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:20 +0800] "GET /CGA105G7/back-end/css/listAllLoc.css HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:21 +0800] "GET /CGA105G7/back-end/js/Loc.js HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:21 +0800] "GET /CGA105G7/back-end/images/logo.png HTTP/1.1" 200 204378
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:21 +0800] "GET /CGA105G7/back-end/images/JavaTime.png HTTP/1.1" 200 893677
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:24 +0800] "GET /CGA105G7/back-end/Location/loc.do?LOC_ID=2&action=getOne_For_Update HTTP/1.1" 200 25107
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:24 +0800] "GET /CGA105G7/back-end/css/back.css HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:24 +0800] "GET /CGA105G7/back-end/css/listAllLoc.css HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:24 +0800] "GET /CGA105G7/back-end/js/Loc.js HTTP/1.1" 200 4971
